69;СоюзАгро НН торговая компания ;г. Нижний Новгород, Гордеевская, 44;(831) 277-28-76;43.929621;56.329657
70;Субару Центр Нижний Новгород, автотехцентр ;г. Нижний Новгород, Куйбышева, 32;(831) 220-08-30;43.918562;56.331473
71;Сфера-НН, транспортная компания ;г. Нижний Новгород, Ковпака, 1а;(831) 257-63-31;43.894371;56.276179
72;Тойтота Центр Нижний Новгород, автосалон ;г. Нижний Новгород, Московское шоссе, 94а;(831) 275-43-34;43.897623;56.313923
73;Тсс-Авто, група компаний ;г. Нижний Новгород, Удмуртская, 4в;(831) 257-60-50;43.890966;56.285084
74;УАЗ центр Ларина, автоцентр ;г. Нижний Новгород, Ларина, 28б;(831) 290-07-00;44.015023;56.237442
75;Фаворит Сервис, транспортная компания ;г. Нижний Новгород, Московское шоссе, 288;(831) 279-45-55;43.853129;56.31248
76;Хонда, сеть автоцентров, ООО Автолига-восток ;г. Нижний Новгород, Московское шоссе, 302г;(831) 220-00-10;43.82141;56.310987
77;Центр-Авто, автосалон ;г. Нижний Новгород, Казанское шоссе, 25;(831) 257-86-00;44.081894;56.279707
78;Ярмарочный автосалон, ЗАО ГАЗ ;г. Нижний Новгород, Совнаркомовская, 13 к6;(831) 277-50-90;43.960343;56.327076
